NAME,K200101_001E,K200201_003E,K200201_002E,K200201_005E,K202101_002E,K202101_006E,K201701_002E,K201901_001E,K201501_004E,K201501_007E,K202801_002E,K202801_004E,state,congressional district
"Congressional District 1 (118th Congress), Alabama",735510,192547,477507,12129,45855,524532,100972,296683,166383,92394,282507,266391,01,01
"Congressional District 2 (118th Congress), Alabama",724401,220309,436219,10334,54631,496511,117170,285816,155333,76859,268745,251480,01,02
"Congressional District 3 (118th Congress), Alabama",730373,169913,498408,11899,41537,530391,113078,297061,160483,74494,278824,255124,01,03
"Congressional District 4 (118th Congress), Alabama",722049,45679,592678,5447,39140,518280,126156,283665,165269,62443,264054,245293,01,04
"Congressional District 5 (118th Congress), Alabama",758622,133299,529689,15401,56024,536808,77189,307930,128579,121764,295250,281277,01,05
"Congressional District 6 (118th Congress), Alabama",722381,141451,505911,13088,30632,521394,80416,283644,126018,118193,275268,263403,01,06
"Congressional District 7 (118th Congress), Alabama",715132,395559,263529,9147,31676,535096,158185,296746,150489,69878,276076,250748,01,07
"Congressional District (at Large) (118th Congress), Alaska",733406,21022,436860,43330,56038,480019,74353,276852,143607,99091,269648,255989,02,00
"Congressional District 1 (118th Congress), Arizona",804256,31910,574043,40755,35556,626795,72731,363896,98996,194101,357693,344635,04,01
"Congressional District 2 (118th Congress), Arizona",833298,25071,486513,13098,53341,612128,137055,330340,150838,94275,312267,283604,04,02
"Congressional District 3 (118th Congress), Arizona",814391,94333,228722,18464,23414,578874,152780,271513,141674,63173,259760,236405,04,03
"Congressional District 4 (118th Congress), Arizona",814381,43657,487459,48726,36784,619572,99143,327230,108641,135865,320533,306429,04,04
"Congressional District 5 (118th Congress), Arizona",857744,27403,596525,55071,43173,597660,47982,306737,112313,145326,302654,290715,04,05
"Congressional District 6 (118th Congress), Arizona",813933,30107,545839,23965,79523,578073,88224,355180,120610,134145,344830,328232,04,06
"Congressional District 7 (118th Congress), Arizona",811832,30962,309222,15698,36349,580970,140823,296600,142619,72805,284303,266868,04,07
"Congressional District 8 (118th Congress), Arizona",800203,31864,551434,35419,54845,582066,74483,323320,141389,117702,313494,300037,04,08
"Congressional District 9 (118th Congress), Arizona",881306,41525,549746,18799,71502,614569,92197,332198,185571,93744,322931,310843,04,09
"Congressional District 1 (118th Congress), Arkansas",752628,119445,562117,5623,42337,536779,131569,302804,197095,64342,283123,261330,05,01
